LAST NAME;FIRST NAME;MIDDLE NAME;ENDING TO LAST NAME;BRANCH OF SERVICE;OFFICER OR ENLISTED INDIVIDUAL;ABBREVIATION OF RANK;CODE FOR GRADE AND PAY;CODES FOR OFFICERS AND ENLISTED PERSONNEL;INDICATES MEMBERSHIP IN A SPECIFIC CORPS;UNIT / COMMAND IDENTIFICATION CODE;RECOMMENDED AWARD;DUTY ASSIGNMENT;TYPE OF ACTION COMMENDED BY THE ORIGINATOR;NUMBER OF TIMES THIS AWARD HAS BEEN GIVEN;START OF AWARD MERIT PERIOD;END OF AWARD MERIT PERIOD;NUMBER OF MONTHS IN MERIT AWARD PERIOD;INDICATOR FOR DISPLAYING MERIT_START_DATE AND MERIT_END_DATE ON REPORTS;GEOGRAPHIC AREA IN WHICH THE AWARD WAS EARNED;DATE AWARD RECOMMENDED;NAME OF AWARD ENDORSED BY CHIEF OF NAVAL OPERATIONS OR COMMANDANT OF THE MARINE CORPS;DATE ENDORSER SIGNS CASE;NAME OF APPROVED AWARD;AWARDING AUTHORITY CODE;DATE AWARD APPROVED;PARTICIPATING COMMANDS IDENTIFICATION;MULITIPLE RECORD IDENTIFICATION;DATE FROM COMMANDANT OF THE MARINE CORPS;MONTH, DAY, AND YEAR RECORD WAS ENTERED;TIME RECORD WAS ENTERED;MONTH, DAY, AND YEAR RECORD WAS MODIFIED;TIME RECORD WAS MODIFIED
LEVERTON;JOSEPH;W;;NAVY;OFFICER;;Commander OR Lieutenant Colonel;;;5259;LEGION OF MERIT;;MERITORIOUS;1;02/01/1943;10/01/1943;9;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;LEGION OF MERIT;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;10/10/1943;540592;;;07/15/1988;163800;09/27/1992;221100
OUTLAW;EDWARD;C;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;DISTINGUISHED FLYING CROSS;;HEROIC;1;02/01/1943;03/01/1943;2;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;DISTINGUISHED FLYING CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;05/05/1943;541605;;;07/15/1988;163800;09/27/1992;230400
BOTTOMLEY;HAROLD;;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;AIR MEDAL-STRIKE/FLIGHT;;MERITORIOUS;1;02/01/1943;03/01/1943;2;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;AIR MEDAL-STRIKE/FLIGHT;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;06/09/1943;542349;;;07/15/1988;163900;10/15/1992;93900
WILSON;RALPH;E;;NAVY;OFFICER;;Colonel;;;5259;LEGION OF MERIT (WITH COMBAT V);;HEROIC;1;02/12/1943;02/12/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;LEGION OF MERIT (WITH COMBAT V);CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;05/25/1943;554514;;;07/15/1988;164200;09/28/1992;63900
POST;WILLIAM;S;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5249;NAVY CROSS;;HEROIC;1;03/01/1943;04/01/1943;2;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;COMSEVENTHFLT - COMMANDER SEVENTH FLEET;06/26/1943;539673;;;07/15/1988;163800;09/27/1992;214800
WHITAKER;REUBEN;T;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;SILVER STAR MEDAL;;HEROIC;1;03/01/1943;07/01/1943;5;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;10/21/1943;541176;;;07/15/1988;163800;09/27/1992;224000
MCELROY;RHODAM;Y;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;AIR MEDAL-INDIVIDUAL ACTION;;MERITORIOUS;1;03/01/1943;03/01/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;AIR MEDAL-INDIVIDUAL ACTION;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;05/15/1943;541578;;;07/15/1988;163800;09/27/1992;230200
HILL;ANDREW;J;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;LEGION OF MERIT;;HEROIC;1;03/06/1943;03/06/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;LEGION OF MERIT (WITH COMBAT V);CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;03/27/1943;540556;;;07/15/1988;163800;09/27/1992;220900
COUSINS;RALPH;W;;NAVY;OFFICER;;Lieutenant OR Captain;;;5259;AIR MEDAL-STRIKE/FLIGHT;;MERITORIOUS;1;04/01/1943;07/01/1943;4;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;AIR MEDAL-STRIKE/FLIGHT;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;08/28/1943;176224;;;07/15/1988;151000;09/13/1988;93300
ANDERSON;GEORGE;W;;NAVY;OFFICER;;Commander OR Lieutenant Colonel;;;1831;NAVY AND MARINE CORPS COMMENDATION MEDAL;;MERITORIOUS;1;04/01/1943;11/01/1943;8;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS COMMENDATION MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;11/24/1943;539235;;;07/15/1988;163800;09/27/1992;212000
ASHWORTH;FREDERIC;;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;DISTINGUISHED FLYING CROSS;;HEROIC;1;04/01/1943;07/01/1943;4;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;DISTINGUISHED FLYING CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;08/28/1943;540972;;;07/15/1988;163800;10/15/1992;75800
KOSSLER;HERMAN;J;;NAVY;OFFICER;;Lieutenant OR Captain;;;5259;SILVER STAR MEDAL;;HEROIC;2;04/05/1943;04/05/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;COMSEVENTHFLT - COMMANDER SEVENTH FLEET;06/07/1943;176080;;;07/15/1988;151000;09/13/1988;93300
LIBBY;RUTHVEN;E;;NAVY;OFFICER;;Colonel;;;5259;LEGION OF MERIT;;MERITORIOUS;1;05/01/1943;05/01/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;LEGION OF MERIT (WITH COMBAT V);CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;09/04/1943;538286;;;07/15/1988;163700;09/27/1992;204300
ROMOSER;WILLIAM;K;;NAVY;OFFICER;;Commander OR Lieutenant Colonel;;;5259;NAVY AND MARINE CORPS COMMENDATION MEDAL;;MERITORIOUS;1;05/01/1943;05/01/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS COMMENDATION MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;07/12/1943;538733;;;07/15/1988;163700;09/27/1992;205800
KNOLL;DENYS;W;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY AND MARINE CORPS COMMENDATION MEDAL;;MERITORIOUS;2;05/01/1943;05/01/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS COMMENDATION MEDAL;SECNAV;07/23/1943;539643;;;07/15/1988;163800;09/27/1992;214500
SCHULTZ;FLOYD;B;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;LEGION OF MERIT;;MERITORIOUS;1;05/01/1943;06/01/1943;2;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;LEGION OF MERIT;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;10/17/1943;540823;;;07/15/1988;163800;09/27/1992;222200
SMALL;WALTER;L;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;SILVER STAR MEDAL;;HEROIC;2;06/01/1943;06/01/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;11/24/1943;201832;;;07/15/1988;151400;09/13/1988;93800
DORSEY;JACK;S;;NAVY;OFFICER;;Commander OR Lieutenant Colonel;;;5259;LEGION OF MERIT;;MERITORIOUS;1;06/01/1943;08/01/1943;3;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;LEGION OF MERIT;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;08/17/1943;539572;;;07/15/1988;163800;09/27/1992;214000
LYNCH;RICHARD;B;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;SILVER STAR MEDAL;;HEROIC;1;06/01/1943;06/01/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;08/17/1943;541478;;;07/15/1988;163800;09/27/1992;225400
COPPOLA;EDUGUARDO;;;NAVY;OFFICER;;Lieutenant (Junior Grade) OR First Lieutenant;;;6982;AIR MEDAL-INDIVIDUAL ACTION;;MERITORIOUS;1;06/16/1943;06/16/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;AIR MEDAL-INDIVIDUAL ACTION;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;09/04/1943;112600;;;07/15/1988;145900;09/13/1988;92200
WARD;NORVELL;G;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;LEGION OF MERIT;;MERITORIOUS;1;07/01/1943;07/01/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;LEGION OF MERIT (WITH COMBAT V);COMSEVENTHFLT - COMMANDER SEVENTH FLEET;09/29/1943;488842;;;07/15/1988;162600;09/13/1988;103100
HILL;ANDREW;J;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY CROSS;;HEROIC;1;07/01/1943;07/01/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;07/19/1943;540558;;;07/15/1988;163800;09/27/1992;220900
HILL;ANDREW;J;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;SILVER STAR MEDAL;;HEROIC;1;07/01/1943;07/01/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;09/28/1943;540560;;;07/15/1988;163800;09/27/1992;220900
LARSEN;HAROLD;H;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY AND MARINE CORPS COMMENDATION MEDAL;;MERITORIOUS;1;07/01/1943;11/01/1943;5;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;BRONZE STAR MEDAL (WITH COMBAT 'V');CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;12/17/1943;541539;;;07/15/1988;163800;09/27/1992;225900
ROMOSER;WILLIAM;K;;NAVY;OFFICER;;Commander OR Lieutenant Colonel;;;5259;NAVY CROSS;;MERITORIOUS;2;07/02/1943;07/02/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;LEGION OF MERIT;SECNAV;10/02/1943;538730;;;07/15/1988;163700;09/27/1992;205800
WELLINGS;JOSEPH;H;;NAVY;OFFICER;;Colonel;;;5259;SILVER STAR MEDAL;;HEROIC;1;07/04/1943;07/04/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;SECNAV;07/19/1943;538570;;;07/15/1988;163700;09/27/1992;205500
GROVERMAN;WILLIAM;;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;SILVER STAR MEDAL;;HEROIC;1;07/06/1943;07/06/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;09/13/1943;182059;;;07/15/1988;151100;09/13/1988;93400
HARPER;CECIL;KELL;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;AIR MEDAL-INDIVIDUAL ACTION;;HEROIC;1;07/17/1943;07/17/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;AIR MEDAL-INDIVIDUAL ACTION;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;09/14/1943;541245;;;07/15/1988;163800;09/27/1992;224500
TYREE;JOHN;A;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;SILVER STAR MEDAL;;HEROIC;1;08/01/1943;08/01/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;10/25/1943;176023;;;07/15/1988;151000;09/13/1988;93300
FROST;LAURENCE;H;;NAVY;OFFICER;;Commander OR Lieutenant Colonel;;;5259;SILVER STAR MEDAL;;HEROIC;1;08/01/1943;08/01/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;10/12/1943;538845;;;07/15/1988;163700;09/27/1992;210400
HILL;ANDREW;J;;NAVY;OFFICER;;Commander OR Lieutenant Colonel;;;5259;NAVY CROSS;;HEROIC;2;08/01/1943;08/01/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;10/12/1943;540559;;;07/15/1988;163800;09/27/1992;220900
BEDELL;PORTER;F;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;DISTINGUISHED FLYING CROSS;;HEROIC;1;08/01/1943;11/01/1943;4;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;DISTINGUISHED FLYING CROSS;USA - U.S. ARMY;12/24/1943;541062;;;07/15/1988;163800;09/27/1992;223600
WILLIAMSON;FRANCI;;;NAVY;OFFICER;;Colonel;;;5259;NAVY CROSS;;HEROIC;1;08/07/1943;08/07/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;10/13/1943;540539;;;07/15/1988;163800;10/15/1992;72700
DONAHO;GLYNN;R;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5246;SILVER STAR MEDAL;;HEROIC;1;08/23/1943;08/23/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;09/15/1943;46777;;;07/15/1988;144700;09/13/1988;91000
WRIGHT;WHITNEY;;;NAVY;OFFICER;;Lieutenant OR Captain;;;5259;NAVY CROSS;;MERITORIOUS;1;08/26/1943;08/26/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;12/06/1943;543218;;;07/15/1988;163900;10/15/1992;104000
TYREE;JOHN;A;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY CROSS;;HEROIC;1;09/01/1943;09/01/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;10/30/1943;176021;;;07/15/1988;151000;09/13/1988;93300
TYREE;JOHN;A;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY CROSS;;HEROIC;2;10/01/1943;10/01/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;11/24/1943;176022;;;07/15/1988;151000;09/13/1988;93300
CHEW;JOHN;L;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY AND MARINE CORPS COMMENDATION MEDAL;;MERITORIOUS;2;10/01/1943;11/01/1943;2;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS COMMENDATION MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;06/17/1943;540497;;;07/15/1988;163800;09/27/1992;220700
BINION;VERNON;E;;NAVY;OFFICER;;Lieutenant OR Captain;;;2073;SILVER STAR MEDAL;;HEROIC;1;10/06/1943;10/06/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;12/13/1943;534139;;;07/15/1988;163700;09/27/1992;195100
WEYMOUTH;RALPH;;;NAVY;OFFICER;;Lieutenant OR Captain;;;5259;DISTINGUISHED FLYING CROSS;;HEROIC;2;10/07/1943;10/07/1943;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;DISTINGUISHED FLYING CROSS;OTHER;03/14/1943;226347;;;07/15/1988;151800;09/13/1988;94200
ROMOSER;WILLIAM;K;;NAVY;OFFICER;;Commander OR Lieutenant Colonel;;;5259;NAVY CROSS;;HEROIC;1;07/04/1945;07/04/1945;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;07/19/1943;538734;;;07/15/1988;163700;09/27/1992;205800
BESHANY;PHILIP;AR;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;BRONZE STAR MEDAL (WITH COMBAT 'V');;HEROIC;1;;;0;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;BRONZE STAR MEDAL (WITH COMBAT 'V');CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;09/03/1944;141526;;;07/15/1988;150300;09/13/1988;92700
MCWETHY;ROBERT;D;;NAVY;OFFICER;;Lieutenant OR Captain;;;5259;SILVER STAR MEDAL;;HEROIC;1;;;0;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;07/12/1944;271887;;;07/15/1988;152600;09/13/1988;95000
DASPIT;LAWRENCE;R;;NAVY;OFFICER;;Commander OR Lieutenant Colonel;;;5259;NAVY CROSS;;HEROIC;1;;;0;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;04/27/1944;539068;;;07/15/1988;163800;09/27/1992;211000
NATION;WILLIAM;M;;NAVY;OFFICER;;Commander OR Lieutenant Colonel;;;5259;NAVY AND MARINE CORPS COMMENDATION MEDAL;;MERITORIOUS;1;;;0;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS COMMENDATION MEDAL;SECNAV;03/22/1944;539146;;;07/15/1988;163800;09/27/1992;211500
WELSH;DAVID;J;;NAVY;OFFICER;;Commander OR Lieutenant Colonel;;;5259;AIR MEDAL-INDIVIDUAL ACTION;;MERITORIOUS;1;;;0;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;AIR MEDAL-INDIVIDUAL ACTION;OTHER;07/24/1944;539479;;;07/15/1988;163800;09/27/1992;213400
POST;WILLIAM;S;;NAVY;OFFICER;;Commander OR Lieutenant Colonel;;;5259;SILVER STAR MEDAL;;HEROIC;2;;;0;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;02/18/1944;539676;;;07/15/1988;163800;09/27/1992;214900
GARNETT;PHILIP;W;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;SILVER STAR MEDAL;;HEROIC;1;;;0;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;02/18/1944;540960;;;07/15/1988;163800;09/27/1992;222900
FLAGHSENHAR;JOHN;;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;SILVER STAR MEDAL;;HEROIC;1;;;0;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;04/15/1944;541651;;;07/15/1988;163800;10/15/1992;84300
GIMBER;STEPHEN;H;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;SILVER STAR MEDAL;;HEROIC;2;;;0;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;COMSEVENTHFLT - COMMANDER SEVENTH FLEET;08/27/1944;541719;;;07/15/1988;163800;09/27/1992;231100
DWYER;CARL;R;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5249;BRONZE STAR MEDAL (WITH COMBAT 'V');;MERITORIOUS;1;;;0;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;BRONZE STAR MEDAL (WITH COMBAT 'V');COMSEVENTHFLT - COMMANDER SEVENTH FLEET;11/07/1944;543030;;;07/15/1988;163900;09/28/1992;700
MANN;STEPHEN;S;;NAVY;OFFICER;;Lieutenant OR Captain;;;5259;BRONZE STAR MEDAL (WITH COMBAT 'V');;MERITORIOUS;1;;;0;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;BRONZE STAR MEDAL (WITH COMBAT 'V');CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;04/09/1944;543044;;;07/15/1988;163900;09/28/1992;800
WRIGHT;RICHARD;M;;NAVY;OFFICER;;Lieutenant OR Captain;;;5259;BRONZE STAR MEDAL;;HEROIC;1;;;0;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;BRONZE STAR MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;07/12/1944;549477;;;07/15/1988;164000;09/28/1992;22100
HUEY;ENDERS;PHILI;;NAVY;OFFICER;;Lieutenant OR Captain;;;5259;BRONZE STAR MEDAL (WITH COMBAT 'V');;MERITORIOUS;1;;;0;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;BRONZE STAR MEDAL (WITH COMBAT 'V');CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;04/15/1944;549531;;;07/15/1988;164000;09/28/1992;22400
HUEY;ENDERS;PHILI;;NAVY;OFFICER;;Lieutenant OR Captain;;;5259;SILVER STAR MEDAL;;HEROIC;1;;;0;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;06/13/1944;549533;;;07/15/1988;164000;09/28/1992;22400
AULT;FRANK;W;;NAVY;OFFICER;;Lieutenant OR Captain;;;5259;NAVY AND MARINE CORPS COMMENDATION MEDAL;;MERITORIOUS;1;;;0;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NO AWARD;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;08/04/1944;551500;;;07/15/1988;164100;09/28/1992;35600
PORTERFIELD;FLOYD;;;NAVY;OFFICER;;Ensign OR Second Lieutenant;;;5259;NAVY AND MARINE CORPS COMMENDATION MEDAL;;MERITORIOUS;2;;;0;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS COMMENDATION MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;05/23/1944;552389;;;07/15/1988;164100;10/15/1992;223800
